context_len,fa2_status,hn_status,fa2_decode_tps,hn_decode_tps,hn_vs_fa2_speedup,fa2_peak_mem_mb,hn_peak_mem_mb,hn_saved_mem_mb,hn_saved_mem_pct
1024,ok,ok,11.2,9.26,0.8267857142857143,16893.98,16778.52,115.45999999999913,0.6834387160396729
2048,ok,ok,10.59,9.42,0.8895184135977338,17373.44,17135.45,237.98999999999796,1.3698496095188861
4096,ok,ok,9.89,8.86,0.8958543983822042,18331.84,17848.78,483.0600000000013,2.635087367116456
8192,ok,ok,9.4,8.7,0.9255319148936169,20246.54,19273.33,973.2099999999991,4.806796618088815
16384,ok,ok,7.99,7.7,0.9637046307884856,24078.04,22124.54,1953.5,8.113201905138459
32768,ok,ok,6.17,7.23,1.1717990275526744,31741.03,27826.96,3914.0699999999997,12.331263352197455
49152,ok,ok,5.05,6.73,1.3326732673267327,39404.02,33529.38,5874.639999999999,14.908732662301968
65536,ok,ok,4.29,6.23,1.4522144522144522,47067.02,39231.8,7835.219999999994,16.646943018699705
98304,ok,ok,3.25,5.33,1.6400000000000001,62393.0,50636.63,11756.370000000003,18.842450274870583
131072,oom,ok,,4.81,,,62041.47,,
